currency_from,currency_to,value,date
DZD,RUB,0.3857,2001-04-01
DZD,RUB,0.3968,2001-05-01
DZD,RUB,0.3651,2001-06-01
DZD,RUB,0.3813,2001-07-01
DZD,RUB,0.3881,2001-08-01
DZD,RUB,0.3917,2001-09-01
DZD,RUB,0.4018,2001-10-01
DZD,RUB,0.3983,2001-11-01
DZD,RUB,0.3973,2001-12-01
DZD,RUB,0.40077,2002-01-01
DZD,RUB,0.37725,2002-02-01
DZD,RUB,0.38262,2002-03-01
DZD,RUB,0.38167,2002-04-01
DZD,RUB,0.38346,2002-05-01
DZD,RUB,0.38549,2002-06-01
DZD,RUB,0.39011,2002-07-01
DZD,RUB,0.38188,2002-08-01
DZD,RUB,0.38915,2002-09-01
DZD,RUB,0.3899,2002-10-01
DZD,RUB,0.39132,2002-11-01
DZD,RUB,0.39284,2002-12-01
DZD,RUB,0.39269,2003-01-01
DZD,RUB,0.39335,2003-02-01
DZD,RUB,0.3906,2003-03-01
DZD,RUB,0.38741,2003-04-01
DZD,RUB,0.38099,2003-05-01
DZD,RUB,0.38018,2003-06-01
DZD,RUB,0.37718,2003-07-01
DZD,RUB,0.38362,2003-08-01
DZD,RUB,0.39196,2003-09-01
DZD,RUB,0.39016,2003-10-01
DZD,RUB,0.38908,2003-11-01
DZD,RUB,0.4196,2003-12-01
DZD,RUB,0.40768,2004-01-01
DZD,RUB,0.38493,2004-02-01
DZD,RUB,0.39282,2004-03-01
DZD,RUB,0.39421,2004-04-01
DZD,RUB,0.39702,2004-05-01
DZD,RUB,0.40647,2004-06-01
DZD,RUB,0.40675,2004-07-01
DZD,RUB,0.40101,2004-07-30
DZD,RUB,0.40101,2004-08-01
DZD,RUB,0.39622,2004-09-01
DZD,RUB,0.40311,2004-10-01
DZD,RUB,0.39213,2004-11-01
DZD,RUB,0.38669,2004-12-01
DZD,RUB,0.38258,2005-01-01
DZD,RUB,0.38179,2005-02-01
DZD,RUB,0.38364,2005-03-01
DZD,RUB,0.38096,2005-04-01
DZD,RUB,0.37524,2005-05-01
DZD,RUB,0.37707,2005-06-01
DZD,RUB,0.38224,2005-07-01
DZD,RUB,0.38702,2005-08-01
DZD,RUB,0.38121,2005-09-01
DZD,RUB,0.3809,2005-10-01
DZD,RUB,0.3898,2005-11-01
DZD,RUB,0.38863,2005-12-01
DZD,RUB,0.39149,2006-01-01
DZD,RUB,0.38327,2006-02-01
DZD,RUB,0.37997,2006-03-01
DZD,RUB,0.37537,2006-04-01
DZD,RUB,0.37495,2006-05-01
DZD,RUB,0.36705,2006-06-01
DZD,RUB,0.3642,2006-07-01
DZD,RUB,0.35792,2006-08-01
DZD,RUB,0.35895,2006-08-31
DZD,RUB,0.36633,2006-09-30
DZD,RUB,0.35757,2006-10-31
DZD,RUB,0.36563,2006-11-30
DZD,RUB,0.36511,2006-12-30
DZD,RUB,0.3634,2007-01-31
DZD,RUB,0.36061,2007-02-28
DZD,RUB,0.35991,2007-03-31
DZD,RUB,0.35879,2007-04-30
DZD,RUB,0.36571,2007-05-31
DZD,RUB,0.36104,2007-06-30
DZD,RUB,0.36437,2007-07-31
DZD,RUB,0.36458,2007-08-31
DZD,RUB,0.35777,2007-09-30
DZD,RUB,0.36548,2007-10-31
DZD,RUB,0.36281,2007-11-30
DZD,RUB,0.36211,2007-12-29
DZD,RUB,0.36579,2008-01-31
DZD,RUB,0.36052,2008-02-29
DZD,RUB,0.35558,2008-03-31
DZD,RUB,0.37008,2008-04-30
DZD,RUB,0.37422,2008-05-31
DZD,RUB,0.37694,2008-06-30
DZD,RUB,0.37505,2008-07-31
DZD,RUB,0.40204,2008-08-31
DZD,RUB,0.41347,2008-09-30
DZD,RUB,0.42374,2008-10-31
DZD,RUB,0.40759,2008-11-30
DZD,RUB,0.41198,2008-12-31
DZD,RUB,0.48483,2009-01-31
DZD,RUB,0.49269,2009-02-28
DZD,RUB,0.45215,2009-03-31
DZD,RUB,0.45907,2009-04-30
DZD,RUB,0.42772,2009-05-31
DZD,RUB,0.42943,2009-06-30
DZD,RUB,0.43087,2009-07-31
DZD,RUB,0.43361,2009-08-31
DZD,RUB,0.41644,2009-09-30
DZD,RUB,0.40489,2009-10-31
DZD,RUB,0.41415,2009-11-30
DZD,RUB,0.41324,2009-12-31
BYN,RUB,0.02287,2001-03-02
BYN,RUB,0.02286,2001-03-03
BYN,RUB,0.02282,2001-03-06
BYN,RUB,0.02283,2001-03-07
BYN,RUB,0.0228,2001-03-08
BYN,RUB,0.02278,2001-03-12
BYN,RUB,0.02277,2001-03-13
BYN,RUB,0.02265,2001-03-14
BYN,RUB,0.02257,2001-03-15
BYN,RUB,0.02253,2001-03-16
BYN,RUB,0.02254,2001-03-17
BYN,RUB,0.02247,2001-03-20
BYN,RUB,0.02249,2001-03-21
BYN,RUB,0.02248,2001-03-22
BYN,RUB,0.02236,2001-03-23
BYN,RUB,0.02218,2001-03-24
BYN,RUB,0.02222,2001-03-27
BYN,RUB,0.02182,2001-03-28
BYN,RUB,0.02186,2001-03-29
BYN,RUB,0.02187,2001-03-30
BYN,RUB,0.02185,2001-03-31
BYN,RUB,0.02176,2001-04-03
BYN,RUB,0.0218,2001-04-04
BYN,RUB,0.0218,2001-04-05
BYN,RUB,0.02179,2001-04-06
BYN,RUB,0.02178,2001-04-07
BYN,RUB,0.02168,2001-04-10
BYN,RUB,0.02147,2001-04-11
BYN,RUB,0.02153,2001-04-12
BYN,RUB,0.02151,2001-04-13
BYN,RUB,0.02151,2001-04-14
BYN,RUB,0.02148,2001-04-17
BYN,RUB,0.02148,2001-04-18
BYN,RUB,0.02147,2001-04-19
BYN,RUB,0.02148,2001-04-20
BYN,RUB,0.02152,2001-04-21
BYN,RUB,0.0214,2001-04-24
BYN,RUB,0.02138,2001-04-25
BYN,RUB,0.02143,2001-04-26
BYN,RUB,0.02146,2001-04-27
BYN,RUB,0.02144,2001-04-28
BYN,RUB,0.02143,2001-04-29
BYN,RUB,0.02135,2001-05-04
BYN,RUB,0.02136,2001-05-05
BYN,RUB,0.02129,2001-05-08
BYN,RUB,0.0213,2001-05-09
BYN,RUB,0.02128,2001-05-11
BYN,RUB,0.02129,2001-05-12
BYN,RUB,0.02127,2001-05-15
BYN,RUB,0.02135,2001-05-16
BYN,RUB,0.02132,2001-05-17
BYN,RUB,0.02136,2001-05-18
BYN,RUB,0.02137,2001-05-19
BYN,RUB,0.02134,2001-05-22
BYN,RUB,0.02133,2001-05-23
BYN,RUB,0.0213,2001-05-24
BYN,RUB,0.02127,2001-05-25
BYN,RUB,0.02131,2001-05-26
BYN,RUB,0.02127,2001-05-29
BYN,RUB,0.02127,2001-05-30
BYN,RUB,0.02124,2001-05-31
BYN,RUB,0.02129,2001-06-01
BYN,RUB,0.02125,2001-06-02
BYN,RUB,0.0211,2001-06-05
BYN,RUB,0.0211,2001-06-06
BYN,RUB,0.02099,2001-06-07
BYN,RUB,0.02099,2001-06-08
BYN,RUB,0.02099,2001-06-09
BYN,RUB,0.02098,2001-06-10
BYN,RUB,0.02097,2001-06-14
BYN,RUB,0.02098,2001-06-15
BYN,RUB,0.02098,2001-06-16
BYN,RUB,0.02093,2001-06-19
BYN,RUB,0.02096,2001-06-20
BYN,RUB,0.021,2001-06-21
BYN,RUB,0.02092,2001-06-22
BYN,RUB,0.02097,2001-06-23
BYN,RUB,0.02091,2001-06-26
BYN,RUB,0.02083,2001-06-27
BYN,RUB,0.02084,2001-06-28
BYN,RUB,0.02085,2001-06-29
BYN,RUB,0.02083,2001-06-30
BYN,RUB,0.02082,2001-07-03
BYN,RUB,0.02082,2001-07-04
BYN,RUB,0.02078,2001-07-05
BYN,RUB,0.02076,2001-07-06
BYN,RUB,0.02075,2001-07-07
BYN,RUB,0.02075,2001-07-10
BYN,RUB,0.02076,2001-07-11
BYN,RUB,0.02074,2001-07-12
BYN,RUB,0.02072,2001-07-13
BYN,RUB,0.02072,2001-07-14
BYN,RUB,0.02074,2001-07-17
BYN,RUB,0.02068,2001-07-18
BYN,RUB,0.02071,2001-07-19
BYN,RUB,0.02073,2001-07-20
BYN,RUB,0.02074,2001-07-21
BYN,RUB,0.02066,2001-07-24
BYN,RUB,0.02062,2001-07-25
BYN,RUB,0.02058,2001-07-26
BYN,RUB,0.02054,2001-07-27
BYN,RUB,0.02061,2001-07-28
BYN,RUB,0.02059,2001-07-31
BYN,RUB,0.02059,2001-08-01
